name,link,Production company,Release date,Running time,Country,Language,Box office,Rating,Directed by,Produced by,Written by,Based on,Starring,Music by,Distributed by,Budget,Story by,Narrated by,Cinematography,Edited by,Languages,Screenplay by,Countries,Production companies,Genre,Created by,Country of origin,No. of seasons,No. of episodes,Executive producers,Original network,Picture format,Audio format,Related shows,Hepburn,Adaptation by,Animation by
Academy Award Review of Walt Disney Cartoons,https://en.wikipedia.org/wiki/Academy_Award_Review_of_Walt_Disney_Cartoons,Walt Disney Productions,1937-05-19,41,United States,English,45472000,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snow White and the Seven Dwarfs,https://en.wikipedia.org/wiki/Snow_White_and_the_Seven_Dwarfs_(1937_film),Walt Disney Productions,1937-12-21,83,United States,English,418000000,7.6,"['David Hand (supervising)', 'William Cottrell', 'Wilfred Jackson', 'Larry Morey', 'Perce Pearce', 'Ben Sharpsteen']",Walt Disney,"['Ted Sears', 'Richard Creedon', 'Otto Englander', 'Dick Rickard', 'Earl Hurd', 'Merrill De Maris', 'Dorothy Ann Blank', 'Webb Smith']","['Snow White', 'by The', 'Brothers Grimm']","['Adriana Caselotti', 'Lucille La Verne', 'Harry Stockwell', 'Roy Atwell', 'Pinto Colvig', 'Otis Harlan', 'Scotty Mattraw', 'Billy Gilbert', 'Eddie Collins', 'Moroni Olsen', 'Stuart Buchanan']","['Frank Churchill', 'Paul Smith', 'Leigh Harline']",RKO Radio Pictures,1490000,,,,,,,,,,,,,,,,,,,,,
Pinocchio,https://en.wikipedia.org/wiki/Pinocchio_(1940_film),Walt Disney Productions,1940-02-07,88,United States,English,164000000,7.4,"['Ben Sharpsteen', 'Hamilton Luske', 'Bill Roberts', 'Norman Ferguson', 'Jack Kinney', 'Wilfred Jackson', 'T. Hee']",Walt Disney,,"['The Adventures of Pinocchio', 'by', 'Carlo Collodi']","['Cliff Edwards', 'Dickie Jones', 'Christian Rub', 'Walter Catlett', 'Charles Judels', 'Evelyn Venable', 'Frankie Darro', 'Clarence Nash', 'Mel Blanc']","['Leigh Harline', 'Paul J. Smith']",RKO Radio Pictures,2600000,"['Ted Sears', 'Otto Englander', 'Webb Smith', 'William Cottrell', 'Joseph Sabo', 'Erdman Penner', 'Aurelius Battaglia']",,,,,,,,,,,,,,,,,,,,
Fantasia,https://en.wikipedia.org/wiki/Fantasia_(1940_film),Walt Disney Productions,1940-11-13,126,United States,English,76400000,7.7,"['Samuel Armstrong', 'James Algar', 'Bill Roberts', 'Paul Satterfield', 'Ben Sharpsteen', 'David D. Hand', 'Hamilton Luske', 'Jim Handley', 'Ford Beebe', 'T. Hee', 'Norman Ferguson', 'Wilfred Jackson']","['Walt Disney', 'Ben Sharpsteen']",,,"['Leopold Stokowski', 'Deems Taylor']",See program,RKO Radio Pictures,2280000,"['Joe Grant', 'Dick Huemer']",Deems Taylor,James Wong Howe,,,,,,,,,,,,,,,,,,
The Reluctant Dragon ,https://en.wikipedia.org/wiki/The_Reluctant_Dragon_(1941_film),Walt Disney Productions,1941-06-27,74,United States,English,96000000,,"['Alfred Werker', '(live action)', 'Hamilton Luske', '(animation)', 'Jack Cutting', ',', 'Ub Iwerks', ',', 'Jack Kinney', '(sequence directors)']",Walt Disney,"['Live-action:', 'Ted Sears', 'Al Perkins', 'Larry Clemmons', 'Bill Cottrell', 'Harry Clork', 'Robert Benchley', 'The Reluctant Dragon', 'segment:', 'Kenneth Grahame', '(original book)', 'Erdman Penner', 'T. Hee', 'Baby Weems', 'segment:', 'Joe Grant', 'Dick Huemer', 'John Miller']",,"['Robert Benchley', 'Frances Gifford', 'Buddy Pepper', 'Nana Bryant']","['Frank Churchill', 'Larry Morey']",RKO Radio Pictures,600000,,,Bert Glennon,Paul Weatherwax,,,,,,,,,,,,,,,,,
Dumbo,https://en.wikipedia.org/wiki/Dumbo,Walt Disney Productions,1941-10-23,64,United States,English,1300000,7.2,"['Ben Sharpsteen', '(supervising director)', 'Norman Ferguson', 'Wilfred Jackson', 'Bill Roberts', 'Jack Kinney', 'Samuel Armstrong']",Walt Disney,,"['Dumbo, the Flying Elephant', 'by', 'Helen Aberson', 'Harold Pearl']","['Edward Brophy', 'Verna Felton', 'Cliff Edwards', 'Herman Bing', 'Sterling Holloway', 'Margaret Wright', 'Hall Johnson Choir']","['Frank Churchill', 'Oliver Wallace']",RKO Radio Pictures,950000,"['Otto Englander', 'Joe Grant', 'Dick Huemer']",John McLeish,,,,,,,,,,,,,,,,,,,
Bambi,https://en.wikipedia.org/wiki/Bambi,Walt Disney Productions,1942-08-09,70,United States,English,267399999,7.3,"['Supervising director', 'David Hand', 'Sequence directors', 'James Algar', 'Samuel Armstrong', 'Graham Heid', 'Bill Roberts', 'Paul Satterfield', 'Norman Wright']",Walt Disney,,"['Bambi, a Life in the Woods', 'by', 'Felix Salten']",see below,"['Frank Churchill', 'Edward H. Plumb']",RKO Radio Pictures,858000,"['Story direction', 'Perce Pearce', 'Story adaptation', 'Larry Morey', 'Story development', 'Vernon Stallings', 'Melvin Shaw', 'Carl Fallberg', 'Chuck Couch', 'Ralph Wright']",,,,,,,,,,,,,,,,,,,,
Saludos Amigos,https://en.wikipedia.org/wiki/Saludos_Amigos,Walt Disney Productions,1942-08-24,42,United States,,1000000,6.1,"['Norman Ferguson', 'Wilfred Jackson', 'Jack Kinney', 'Hamilton Luske', 'Bill Roberts']",Walt Disney,,,"['Lee Blair', 'Mary Blair', 'Pinto Colvig', 'Walt Disney', 'Norman Ferguson', 'Frank Graham', 'Clarence Nash', 'Jos Oliveira', 'Frank Thomas']","['Paul Smith', 'Edward H. Plumb']",RKO Radio Pictures,,"['Homer Brightman', 'William Cottrell', 'Richard Huemer', 'Joe Grant', 'Harold Reeves', 'Ted Sears', 'Webb Smith', 'Roy Williams', 'Ralph Wright']",Fred Shields,,,"['English', 'Portuguese', 'Spanish']",,,,,,,,,,,,,,,,
Victory Through Air Power,https://en.wikipedia.org/wiki/Victory_Through_Air_Power_(film),Walt Disney Productions,1943-07-17,65,United States,English,799000,6.5,"['Animated sequences:', 'James Algar', 'Clyde Geronimi', 'Jack Kinney', 'de Seversky scenes:', 'H.C. Potter']",Walt Disney,"['Story direction:', 'Perce Pearce', 'Story adaptation:', 'T. Hee', 'Erdman Penner', 'Bill Cottrell', 'James Brodero', 'George Stallings', 'Jose Rodriguez']",Victory Through Air Power by Maj. Alexander P. Seversky,Alexander de Seversky,"['Edward H. Plumb', 'Paul J. Smith', 'Oliver Wallace']",United Artists,788000,,Art Baker,Ray Rennahan,Jack Dennis,,,,,,,,,,,,,,,,,
The Three Caballeros,https://en.wikipedia.org/wiki/The_Three_Caballeros,Walt Disney Productions,1944-12-21,71,United States,,3000000,6.4,"['Norman Ferguson (supervising director)', 'Clyde Geronimi', 'Jack Kinney', 'Bill Roberts', 'Harold Young (sequence directors)']",Walt Disney,,,"['Clarence Nash', 'Jos Oliveira', 'Joaquin Garay']","['Edward H. Plumb', 'Paul J. Smith', 'Charles Wolcott']",RKO Radio Pictures,,"['Homer Brightmen', 'Ernest Terrazas', 'Ted Sears', 'Bill Peet', 'Ralph Wright', 'Elmer Plummer', 'Roy Williams', 'William Cottrell', 'Del Connell', 'James Bodrero']",,,,"['English', 'Spanish', 'Portuguese']",,,,,,,,,,,,,,,,
